"Nome.da.variavel"	"Unidade.de.medida"	"dados_id_febr"
"Calhaus > 20 mm"	"%"	"ctb0002"
"Areia grossa 2-0,20 mm"	"g/kg"	"ctb0002"
"% silte / % argila"	"-"	"ctb0002"
"Densidade do solo"	"mg.m^-3"	"ctb0002"
"Complexo sortivo Ca++"	"cmol/kg"	"ctb0002"
"P Assimilável"	"mg/kg"	"ctb0002"
"Profundidade do horizonte"	"cm"	"ctb0006"
"Complexo sortivo Ca++"	"cmolc/kg"	"ctb0006"
"Micronutrientes - S"	"mg/dm3"	"ctb0006"
"Complexo sortivo Ca++"	"me/100g"	"ctb0023"
"Comp. granulométrica da terra fina - Areia Grossa"	"tfsa %"	"ctb0050"
"Complexo Sortivo - Ca++"	"mE/100g"	"ctb0050"
"Ataque por H2SO4 (d=1,47) e Na2CO3 (5%) - SiO2"	"Não Informado"	"ctb0050"
"Pasta Saturada - C.E do extrato"	"mmhos/cm 25ºC"	"ctb0050"
"P Assimilável"	"ppm"	"ctb0050"
"Frações da amostra total - Calhaus "	"g.kg-1"	"ctb0562"
"Densidade - Solo (Aparente)"	"g.cm-3"	"ctb0562"
"Porosidade"	"m3.m-3"	"ctb0562"
"Complexo Sortivo - Ca++"	"cmolc.kg-1"	"ctb0562"
"P assimilável"	"mg.kg-1"	"ctb0562"
"Fe2O3 Livre"	"g/100g"	"ctb0562"
"Pasta Saturada - C.E do extrato"	"ms.cm-1"	"ctb0562"
"Densidade - Solo"	"g/cm3"	"ctb0563"
"Porosidade "	"cm3/100cm3"	"ctb0563"
"Pasta Saturada - C.E do Extrato"	"ms/cm 25ºC"	"ctb0563"
"Pasta saturada - CE do extrato "	"Ms/cm/25ºC"	"ctb0565"
"Constantes Hidricas - Umidade 1/30 atm"	"MPa"	"ctb0565"
"Frações da amostra total - Calhaus "	"g/Kg"	"ctb0567"
"P assimilável"	"mg/Kg"	"ctb0567"
"Pasta Saturada - C.E do extrato"	"mS/cm 25ºC"	"ctb0567"
"Sais solúveis (extrato 1:5) - Ca2+"	"cmolc/kg de TF"	"ctb0567"
"Sais solúveis (extrato 1:5) - Ca2+"	"cmolc/kg "	"ctb0569"
"Complexo Sortivo - Ca2+"	"meq/100g"	"ctb0572"
"Pasta Saturada - Ca2+"	"meq/l"	"ctb0572"
"Densidade partículas"	"g/cm^3"	"ctb0578"
"Grau de floculação"	"g/100 g"	"ctb0578"
"Argila"	"dag/kg ou dag/kg de T.F.S.A."	"ctb0580"
"Carbono"	"% ou dag/kg ou dag/kg de T.F.S.A."	"ctb0580"
"Cálcio"	"cmol/kg de T.F.S.A. ou dag/kg"	"ctb0580"
"Acidez potencial (H+ + Al+++)"	"Não informado"	"ctb0580"
"Capacidade de troca de cátions da fração argila (CTC arg.)"	"cmol/kg de argila ou cmol/kg de T.F.S.A."	"ctb0580"
"Saturação por alumínio (m)"	"% ou cmol/kg de argila"	"ctb0580"
"Densidade do solo"	"mg/m^3"	"ctb0580"
"Porosidade"	"cm^3/100cm^3"	"ctb0584"
"Densidade solo"	"mg/mL"	"ctb0591"
"Porosidade"	"cm^3/100 cm^3"	"ctb0591"
"100 Na / T"	""	"ctb0597"
"Sal solúvel (extrato 1:5) - K+"	"cmol/kg de TF"	"ctb0599"
"Areia grossa 2-0,2 mm"	"g kg^-1"	"ctb0602"
"Densidade global"	"t m^-3"	"ctb0602"
"Ca ++"	"cmolc kg^-1"	"ctb0602"
"P disponível"	"mg kg-1"	"ctb0602"
"Condutividade Hidráulica"	"cm h^-1"	"ctb0602"
"Ca ++"	"cmol/ kg"	"ctb0603"
"Densidade solo"	"g.cm^-3"	"ctb0605"
"Porosidade"	"m^3.m^-3"	"ctb0605"
"P assimilável"	"mg kg^-1"	"ctb0605"
"Densidade global"	"g/cm³"	"ctb0607"
"Pasta Saturada C.E. do extrato"	"mS/cm 25°C"	"ctb0607"
"Pasta Saturada C.E. do extrato"	"mmhos/cm 25°C"	"ctb0608"
"Condutividade do extrato de saturação"	"mmhos/cm a 25°C"	"ctb0636"
"Condutividade da pasta saturada"	"mmhos/cm a 25 °C"	"ctb0642"
"Na+"	"mE/L"	"ctb0646"
"P2O5 (Bray)"	"mg/100g"	"ctb0647"
"Sais soluveis ext saturação - Mg+"	"meq/L"	"ctb0654"
"Composição Granulometrica da terra fina - Areia Grossa"	"mm"	"ctb0656"
"Pasta Saturada - C.E do Extrato"	"mmhos/cm"	"ctb0659"
"Complexo Sortivo - Ca++"	"mE / 100 g"	"ctb0663"
"P assimilável"	"ppm ou mg/100g ou mE/100g"	"ctb0664"
"Densidade"	"kg/dm3"	"ctb0666"
"Porosidade"	"dm3/dm3"	"ctb0666"
"Sais soluveis ext saturação - Ca2+"	"mEq/L"	"ctb0667"
"Densidade Aparente"	"gcm3"	"ctb0674"
"Relação silte/argila"	"(%silte)/(%argila)"	"ctb0678"
"Equivalente de umidade"	"Expresso em números inteiros"	"ctb0678"
"Sais solúveis (extrato 1:5) - Ca++"	"mE/100g de TF"	"ctb0679"
"Cálcio trocável"	"mEq/100g"	"ctb0681"
"Porosidade total"	"cm3 /100cm3"	"ctb0683"
"Pasta saturada - C.E. do extrato"	"mS/cm25ºC"	"ctb0683"
"Complexo sortivo - Ca++ permutável"	"E/100g"	"ctb0688"
"Resistividade"	"Ohms-1(nhos-cm)"	"ctb0695"
"P2O5"	"mg / 100 g"	"ctb0697"
"Densidade Aparente"	"g / cm3"	"ctb0698"
